EcDest,EcDestName,EcDestDesc,DestEcNom,DestEcDesc
0,Undesignated,No associated designated use,Sin destinación,Sin destinación asociada,
A,Residential,"Properties designated for residential use. This category includes parking spaces, garages, and storage units associated with this use under horizontal property regulations",Habitacional,"Predios destinados a vivienda. Se incluyen dentro de esta clase los parqueaderos, garajes y depósitos contenidos en el reglamento de propiedad horizontal, ligado a este destino",
B,Industrial,Properties where raw material processing and transformation activities take place,Industrial,Predios en los cuales se desarrollan actividades de elaboración y transformación de materias primas,
C,Commercial,Properties designated for the exchange of goods and/or services to meet the needs of a community,Comercial,Predios destinados al intercambio de bienes y/o servicios con el fin de satisfacer las necesidades de una colectividad,
D,Agricultural/Livestock,Properties designated for agricultural and livestock use,Agropecuario,Predios con destinación agrícola y pecuaria,
E,Mining,Properties designated for mineral extraction and exploitation,Minero,Predios destinados a la extracción y explotación de minerales,
F,Cultural,Properties designated for artistic and intellectual activities,Cultural,Predios destinados al desarrollo de actividades artísticas e intelectuales,
G,Recreational,Properties dedicated to leisure and entertainment activities,Recreacional,Predios dedicados al desarrollo o a la práctica de actividades de esparcimiento y entretenimiento,
H,Public Health,"Properties designated for clinics, hospitals, and health centers",Salubridad,"Predios destinados a clínicas, hospitales y puestos de salud",
I,Institutional,Properties designated for state administration and service provision not included in the other categories of this article,Institucionales,Predios destinados a la administración y prestación de servicios del Estado y que no están incluidos en los literales de este artículo,
J,Educational,Properties designated for academic activities,Educativo,Predios destinados al desarrollo de actividades académicas,
K,Religious,Properties designated for religious worship,Religioso,Predios destinados a la práctica de culto religioso,
L,Agricultural,Properties designated for the planting and utilization of plant species,Agrícola,Predios destinados a la siembra y aprovechamiento de especies vegetales,
M,Livestock,"Properties designated for the breeding, slaughter, and utilization of animal species",Pecuario,"Predios destinados a la cría, beneficio y aprovechamiento de especies animales",
N,Agro-industrial,"Properties designated for cultivation and processing activities within the agricultural, livestock, and forestry sectors",Agroindustrial,"Predios destinados a la actividad que implica cultivo y transformación en los sectores agrícola, pecuario y forestal",
O,Forestry,Properties designated for the exploitation of timber and non-timber species,Forestal,Predios destinados a la explotación de especies maderables y no maderables,
P,Public Use,Properties open to community use that are not included in the preceding categories,Uso Público,Predios cuyo uso es abierto a la comunidad y que no están incluidos en los literales anteriores,
Q,Special Services,"Properties generating high environmental and/or social impact. These include, among others: fuel storage centers, cemeteries, reservoirs, landfills, oxidation ponds, slaughterhouses, cold storage facilities, and prisons. Paragraph 1. This classification may be subject to further sub-classification in accordance with regulations established by the ""Agustín Codazzi"" Geographic Institute. Paragraph 2. In cases where multiple uses exist on a single property, it shall be classified based on the predominant activity, determined by the largest area of ??land and/or construction. Paragraph 3. For cadastral and statistical purposes, lots shall be classified according to their degree of development",Servicios Especiales,"Predios que genera alto impacto ambiental y /o Social. Entre otros, están:  Centro de Almacenamiento de Combustible, Cementerios, Embalses, Rellenos Sanitarios, Lagunas de Oxidación, Mataderos, Frigoríficos y Cárceles. Parágrafo 1°. Esta clasificación podrá ser objeto de subclasificación de acuerdo con lo establecido mediante reglamento del Instituto Geográfico ""Agustín Codazzi"". Parágrafo 2°. En los casos de existir diversas destinaciones en un mismo predio, se clasificará atendiendo aquella actividad predominante que se desarrolle, para lo cual se aplicará el criterio de tomar la mayor área de terreno y /o construcción. Parágrafo 3°. Para fines catastrales y estadísticos los lotes se clasificarán de acuerdo con su grado de desarrollo",
R,Developable lot (undeveloped),"Undeveloped properties that, despite being zoned for development, have not undergone urbanization",Lote urbanizable no urbanizado,"Predios no construidos que estando reglamentados para su desarrollo, no han sido urbanizados",
S,Developed lot (unbuilt/no structures),Undeveloped properties that feature some form of urbanization infrastructure,Lote urbanizado no construido o edificado,Predios no construidos que cuentan con algún tipo de obra de urbanismo,
T,Non-developable lot,Properties where urban development is not permitted under applicable regulations,Lote no Urbanizable,Predios que de conformidad con la reglamentación no se permite su desarrollo urbanístico,
